timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock,cpu_power,cpu_energy,cpu_temperature,cpu_socket0_temperature,cpu_socket0_pkg_watt,cpu_socket1_temperature,cpu_socket1_pkg_watt
1760775694.4264145,2025-10-18 16:21:34.426,80.47,100,51,13304,16376,2775,11251,38.9,0,40,4,16376,2775,810,44.72,0,37,4,16376,2745,810,43.51,0,35,4,16376,2745,810,165.00716191191066,17.02,43.0,46.5,0.0,39.5,0.0
1760775694.9573746,2025-10-18 16:21:34.957,81.0,99,51,13304,16376,2775,11251,38.96,0,40,4,16376,2775,810,44.86,0,37,4,16376,2745,810,43.56,0,35,4,16376,2745,810,166.1120187333145,17.09,43.2,46.9,48.05,39.5,114.46
1760775695.6547081,2025-10-18 16:21:35.654,81.2,100,51,13304,16376,2775,11251,38.96,0,40,4,16376,2775,810,44.86,0,37,4,16376,2745,810,43.56,0,35,4,16376,2745,810,163.0018419208137,16.83,43.45,47.4,89.69,39.5,77.8
1760775696.1792808,2025-10-18 16:21:36.179,80.64,100,51,13304,16376,2775,11251,38.79,0,40,4,16376,2775,810,44.88,0,37,4,16376,2745,810,43.62,0,35,4,16376,2745,810,163.80479514183224,17.05,43.65,47.8,105.52,39.5,64.88
1760775696.7626774,2025-10-18 16:21:36.762,80.64,100,51,13304,16376,2775,11251,38.73,0,40,4,16376,2775,810,44.88,0,37,4,16376,2745,810,43.62,0,35,4,16376,2745,810,164.66471981954064,17.0,43.8,48.1,106.63,39.5,84.92
1760775697.3473415,2025-10-18 16:21:37.347,80.59,100,51,13304,16376,2775,11251,38.73,0,40,4,16376,2775,810,44.95,0,37,4,16376,2745,810,43.61,0,35,4,16376,2745,810,163.87925519822917,16.92,43.8,48.1,95.43,39.5,74.17
1760775697.7647433,2025-10-18 16:21:37.764,80.56,100,51,13304,16376,2775,11251,38.73,0,40,4,16376,2775,810,44.95,0,37,4,16376,2745,810,43.61,0,35,4,16376,2745,810,162.7306753305601,16.81,43.95,48.4,95.43,39.5,74.17
1760775698.2011955,2025-10-18 16:21:38.201,81.16,99,51,13304,16376,2775,11251,38.65,0,40,4,16376,2775,810,44.91,0,37,4,16376,2745,810,43.67,0,35,4,16376,2745,810,166.10727494073225,17.06,43.95,48.4,110.37,39.5,92.43
1760775699.1184554,2025-10-18 16:21:39.118,81.26,100,51,13304,16376,2775,11251,38.51,0,40,4,16376,2775,810,44.76,0,37,4,16376,2745,810,43.69,0,35,4,16376,2745,810,170.37627901656793,17.58,43.95,48.4,110.37,39.5,92.43
1760775699.5628865,2025-10-18 16:21:39.562,81.26,100,51,13304,16376,2775,11251,38.51,0,40,4,16376,2775,810,44.76,0,37,4,16376,2745,810,43.69,0,35,4,16376,2745,810,169.81954004449986,17.59,44.15,48.5,83.37,39.8,68.9
1760775699.9784203,2025-10-18 16:21:39.978,80.5,100,51,13304,16376,2775,11251,38.74,0,40,4,16376,2775,810,45.03,0,37,4,16376,2745,810,43.69,0,35,4,16376,2745,810,162.30747246237385,16.73,44.15,48.5,93.8,39.8,87.65
1760775700.4524226,2025-10-18 16:21:40.452,80.35,100,51,13304,16376,2775,11251,38.74,0,40,4,16376,2775,810,45.03,0,37,4,16376,2745,810,43.66,0,35,4,16376,2745,810,165.03939803537764,16.92,44.25,48.6,93.8,39.9,87.65
1760775700.8206692,2025-10-18 16:21:40.820,80.44,100,51,13304,16376,2775,11251,38.74,0,40,4,16376,2775,810,45.03,0,37,4,16376,2745,810,43.66,0,35,4,16376,2745,810,172.153040692687,17.93,44.1,48.6,88.49,39.6,95.27
1760775701.2791238,2025-10-18 16:21:41.279,81.13,99,51,13304,16376,2775,11251,38.98,0,40,4,16376,2775,810,45.21,0,37,4,16376,2745,810,43.66,0,35,4,16376,2745,810,168.99904668834213,18.08,44.2,48.8,69.14,39.6,81.96
1760775701.7902818,2025-10-18 16:21:41.790,81.08,99,51,13304,16376,2775,11251,38.98,0,40,4,16376,2775,810,45.21,0,37,4,16376,2745,810,43.66,0,35,4,16376,2745,810,170.99831634669096,17.6,44.2,48.8,69.14,39.6,81.96
1760775702.210728,2025-10-18 16:21:42.210,80.73,100,51,13304,16376,2775,11251,38.8,0,41,4,16376,2775,810,44.97,0,37,4,16376,2745,810,43.68,0,35,4,16376,2745,810,169.86477338803056,17.52,44.2,48.8,111.71,39.6,95.6
1760775702.5825694,2025-10-18 16:21:42.582,80.73,100,51,13304,16376,2775,11251,38.8,0,41,4,16376,2775,810,44.97,0,37,4,16376,2745,810,43.68,0,35,4,16376,2745,810,172.76473521586794,17.88,44.2,48.8,81.96,39.6,74.84
1760775703.02749,2025-10-18 16:21:43.027,81.17,100,51,13304,16376,2775,11251,38.46,0,41,4,16376,2775,810,44.78,0,37,4,16376,2745,810,43.68,0,35,4,16376,2745,810,168.48093712412873,17.48,44.05,48.5,81.96,39.6,74.84
1760775703.4343355,2025-10-18 16:21:43.434,81.19,100,51,13304,16376,2775,11251,38.46,0,41,4,16376,2775,810,44.78,0,37,4,16376,2745,810,43.72,0,35,4,16376,2745,810,171.93296546092475,18.05,44.05,48.5,68.35,39.6,84.83
1760775703.8404973,2025-10-18 16:21:43.840,81.08,100,51,13304,16376,2775,11251,38.52,0,41,4,16376,2775,810,44.78,0,37,4,16376,2745,810,43.72,0,35,4,16376,2745,810,176.21636550221822,18.15,44.05,48.5,125.87,39.6,92.17
1760775704.3673754,2025-10-18 16:21:44.367,80.46,100,51,13304,16376,2775,11251,38.52,0,41,4,16376,2775,810,44.97,0,38,4,16376,2745,810,43.77,0,35,4,16376,2745,810,172.51375631327988,17.94,44.2,48.8,53.88,39.6,69.8
1760775705.0546772,2025-10-18 16:21:45.054,81.03,100,51,13304,16376,2775,11251,38.85,0,41,4,16376,2775,810,45.35,0,38,4,16376,2745,810,43.77,0,35,4,16376,2745,810,168.8240584327589,17.85,44.2,48.8,53.88,39.6,69.8
1760775705.471415,2025-10-18 16:21:45.471,80.93,100,51,13304,16376,2775,11251,38.85,0,41,4,16376,2775,810,45.35,0,38,4,16376,2745,810,43.86,0,35,4,16376,2745,810,172.33713681297078,17.73,44.05,48.5,81.99,39.6,71.59
1760775705.854488,2025-10-18 16:21:45.854,80.81,100,51,13304,16376,2775,11251,38.85,0,41,4,16376,2775,810,45.35,0,38,4,16376,2745,810,43.86,0,35,4,16376,2745,810,167.71126083519624,17.27,44.1,48.6,69.72,39.6,51.12
1760775706.2719755,2025-10-18 16:21:46.271,80.31,100,51,13304,16376,2775,11251,39.03,0,41,4,16376,2775,810,45.4,0,38,4,16376,2745,810,43.92,0,35,4,16376,2745,810,169.78605992850487,17.62,44.2,48.8,69.72,39.6,51.12
1760775706.686697,2025-10-18 16:21:46.686,81.01,100,51,13304,16376,2775,11251,39.03,0,41,4,16376,2775,810,45.4,0,38,4,16376,2745,810,43.92,0,35,4,16376,2745,810,171.50685593806304,17.68,44.1,48.6,78.13,39.6,143.13
1760775707.0866714,2025-10-18 16:21:47.086,81.01,100,51,13304,16376,2775,11251,39.12,0,41,4,16376,2775,810,45.31,0,38,4,16376,2745,810,43.89,0,35,4,16376,2745,810,166.22669755670702,17.77,44.05,48.5,79.13,39.6,87.08
1760775707.6176217,2025-10-18 16:21:47.617,80.9,100,51,13304,16376,2775,11251,39.12,0,41,4,16376,2775,810,45.31,0,38,4,16376,2745,810,43.89,0,35,4,16376,2745,810,170.05794476927477,17.69,44.0,48.4,98.16,39.6,73.9
1760775708.114904,2025-10-18 16:21:48.114,80.9,100,51,13304,16376,2775,11251,39.33,0,41,4,16376,2775,810,45.28,0,38,4,16376,2745,810,43.8,0,35,4,16376,2745,810,171.55769675422732,17.69,44.05,48.5,98.16,39.6,73.9
1760775708.4995618,2025-10-18 16:21:48.499,80.28,100,51,13304,16376,2775,11251,39.33,0,41,4,16376,2775,810,45.28,0,38,4,16376,2745,810,43.8,0,35,4,16376,2745,810,165.44055739030415,17.67,44.05,48.5,70.28,39.6,88.67
1760775708.9416423,2025-10-18 16:21:48.941,81.0,100,51,13304,16376,2775,11251,39.43,0,41,4,16376,2775,810,45.28,0,38,4,16376,2745,810,43.8,0,35,4,16376,2745,810,166.64548299754873,17.94,44.1,48.6,70.28,39.6,88.67
1760775709.3440528,2025-10-18 16:21:49.344,81.09,100,51,13304,16376,2775,11251,39.43,0,41,4,16376,2775,810,45.36,0,38,4,16376,2745,810,43.81,0,35,4,16376,2745,810,170.4209969901459,17.72,44.2,48.8,75.73,39.6,91.81
1760775709.7828455,2025-10-18 16:21:49.782,80.52,100,51,13304,16376,2775,11251,39.43,0,41,4,16376,2775,810,45.36,0,38,4,16376,2745,810,43.81,0,35,4,16376,2745,810,172.158471747013,17.73,44.4,48.8,92.12,40.0,74.15
1760775710.1883638,2025-10-18 16:21:50.188,80.48,100,51,13304,16376,2775,11251,39.48,0,41,4,16376,2775,810,45.19,0,38,4,16376,2745,810,43.87,0,35,4,16376,2745,810,174.17754329030856,18.05,44.0,48.0,92.0,40.0,75.07
1760775710.9583356,2025-10-18 16:21:50.958,80.93,100,51,13304,16376,2775,11251,39.44,0,41,4,16376,2775,810,44.92,0,38,4,16376,2745,810,43.87,0,35,4,16376,2745,810,172.69101658231193,18.38,43.8,47.6,76.48,40.0,127.91
1760775711.4124167,2025-10-18 16:21:51.412,80.86,100,51,13304,16376,2775,11251,39.44,0,41,4,16376,2775,810,44.92,0,38,4,16376,2745,810,43.81,0,36,4,16376,2745,810,168.7690293239135,17.47,43.75,47.6,76.48,39.9,127.91
