timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock,cpu_power,cpu_energy,cpu_temperature,cpu_socket0_temperature,cpu_socket0_pkg_watt,cpu_socket1_temperature,cpu_socket1_pkg_watt
1760670702.4364438,2025-10-17 11:11:42.436,48.29,0,38,256,16376,2550,11251,46.48,0,38,256,16376,2550,11251,56.27,0,37,256,16376,2550,11251,48.9,0,35,256,16376,2550,11251,140.9154858501372,14.54,38.1,40.0,0.0,36.2,0.0
1760670702.8211966,2025-10-17 11:11:42.821,48.29,0,38,256,16376,2550,11251,46.48,0,38,256,16376,2550,11251,56.27,0,37,256,16376,2550,11251,48.9,0,35,256,16376,2550,11251,140.35458047465582,14.41,38.1,40.0,72.98,36.2,78.42
1760670703.163671,2025-10-17 11:11:43.163,48.32,0,38,256,16376,2550,11251,46.5,0,39,256,16376,2550,11251,56.29,0,37,256,16376,2550,11251,48.99,0,35,256,16376,2550,11251,147.61792707045498,15.21,38.1,40.0,72.98,36.2,78.42
1760670703.5119665,2025-10-17 11:11:43.511,48.32,0,38,256,16376,2550,11251,46.5,0,39,256,16376,2550,11251,56.29,0,37,256,16376,2550,11251,48.99,0,35,256,16376,2550,11251,139.53764338665442,14.28,38.1,40.0,70.81,36.2,70.93
1760670703.8565288,2025-10-17 11:11:43.856,48.32,0,38,256,16376,2550,11251,46.5,0,39,256,16376,2550,11251,56.29,0,37,256,16376,2550,11251,48.99,0,35,256,16376,2550,11251,150.77315484172087,15.54,38.1,40.0,70.81,36.2,70.93
1760670704.2070258,2025-10-17 11:11:44.207,48.31,0,38,256,16376,2550,11251,46.46,0,39,256,16376,2550,11251,56.31,0,37,256,16376,2550,11251,49.04,0,35,256,16376,2550,11251,148.410382049738,15.23,38.1,40.0,74.36,36.2,70.46
1760670704.5507045,2025-10-17 11:11:44.550,48.31,0,38,256,16376,2550,11251,46.46,0,39,256,16376,2550,11251,56.31,0,37,256,16376,2550,11251,49.04,0,35,256,16376,2550,11251,141.77356417681895,14.6,38.3,40.2,74.36,36.4,70.46
1760670704.893486,2025-10-17 11:11:44.893,48.31,0,38,256,16376,2550,11251,46.46,0,39,256,16376,2550,11251,56.31,0,37,256,16376,2550,11251,49.04,0,35,256,16376,2550,11251,138.14073085493524,14.17,38.3,40.2,69.06,36.4,86.98
1760670705.2373123,2025-10-17 11:11:45.237,43.76,0,38,256,16376,450,810,45.69,0,38,256,16376,510,810,56.29,0,37,256,16376,2550,11251,48.98,0,35,256,16376,2550,11251,146.70475111669788,15.14,38.3,40.2,73.64,36.4,67.67
1760670705.5857213,2025-10-17 11:11:45.585,43.76,0,38,256,16376,450,810,45.69,0,38,256,16376,510,810,56.29,0,37,256,16376,2550,11251,48.98,0,35,256,16376,2550,11251,147.3732567647822,15.17,38.3,40.2,73.64,36.4,67.67
1760670705.9769173,2025-10-17 11:11:45.976,43.76,0,38,256,16376,450,810,45.69,0,38,256,16376,510,810,56.29,0,37,256,16376,2550,11251,48.98,0,35,256,16376,2550,11251,137.14198308534804,14.08,38.3,40.2,70.01,36.4,63.73
1760670706.328135,2025-10-17 11:11:46.328,32.9,0,37,256,16376,285,810,33.39,0,38,256,16376,330,810,45.28,0,36,256,16376,360,810,41.06,0,34,256,16376,405,810,131.35996976699772,13.52,38.3,40.2,70.01,36.4,63.73
1760670706.6773212,2025-10-17 11:11:46.677,32.9,0,37,256,16376,285,810,33.39,0,38,256,16376,330,810,45.28,0,36,256,16376,360,810,41.06,0,34,256,16376,405,810,131.83934978543877,13.56,38.3,40.2,67.31,36.4,77.86
1760670707.0211587,2025-10-17 11:11:47.021,32.9,0,37,256,16376,285,810,33.39,0,38,256,16376,330,810,45.28,0,36,256,16376,360,810,41.06,0,34,256,16376,405,810,131.46519670582006,13.54,38.25,40.1,67.31,36.4,77.86
1760670707.375311,2025-10-17 11:11:47.375,23.38,0,37,256,16376,210,405,18.91,0,38,256,16376,210,405,29.17,0,36,256,16376,225,405,28.36,0,34,256,16376,255,405,133.80773528447975,13.79,38.25,40.1,68.21,36.4,78.61
1760670707.7311263,2025-10-17 11:11:47.731,23.38,0,37,256,16376,210,405,18.91,0,38,256,16376,210,405,29.17,0,36,256,16376,225,405,28.36,0,34,256,16376,255,405,131.16014382496732,13.5,38.2,40.0,68.21,36.4,78.61
1760670708.0789623,2025-10-17 11:11:48.078,19.75,0,37,256,16376,210,405,14.59,0,38,256,16376,210,405,22.62,0,36,256,16376,225,405,28.36,0,34,256,16376,255,405,131.888525017483,13.56,38.2,40.0,73.03,36.4,73.6
1760670708.4281147,2025-10-17 11:11:48.428,19.75,0,37,256,16376,210,405,14.59,0,38,256,16376,210,405,22.62,0,36,256,16376,210,405,19.9,0,34,256,16376,210,405,131.6544186246858,13.54,38.2,40.0,73.03,36.4,73.6
1760670708.781224,2025-10-17 11:11:48.781,19.75,0,37,256,16376,210,405,14.59,0,38,256,16376,210,405,22.62,0,36,256,16376,210,405,19.9,0,34,256,16376,210,405,142.2270167155683,14.72,38.2,40.0,70.14,36.4,70.83
1760670709.131568,2025-10-17 11:11:49.131,19.38,0,37,256,16376,210,405,13.2,0,38,256,16376,210,405,21.17,0,36,256,16376,210,405,16.26,0,34,256,16376,210,405,142.5622150234661,14.7,38.2,40.0,69.47,36.4,61.53
1760670709.4835768,2025-10-17 11:11:49.483,19.38,0,37,256,16376,210,405,13.2,0,38,256,16376,210,405,21.17,0,36,256,16376,210,405,16.26,0,34,256,16376,210,405,137.70909539614394,14.17,38.2,40.0,69.47,36.4,61.53
1760670709.8392777,2025-10-17 11:11:49.839,19.38,0,37,256,16376,210,405,13.2,0,38,256,16376,210,405,21.17,0,36,256,16376,210,405,16.26,0,34,256,16376,210,405,141.30495533865698,14.56,38.2,40.0,67.57,36.4,85.52
1760670710.1928625,2025-10-17 11:11:50.192,19.37,0,37,256,16376,210,405,13.23,0,38,256,16376,210,405,21.14,0,36,256,16376,210,405,16.22,0,34,256,16376,210,405,143.1996810034633,14.88,38.2,40.0,67.57,36.4,85.52
1760670710.545511,2025-10-17 11:11:50.545,19.37,0,37,256,16376,210,405,13.23,0,38,256,16376,210,405,21.14,0,36,256,16376,210,405,16.22,0,34,256,16376,210,405,136.99071161138625,14.08,38.2,40.0,68.83,36.4,68.84
1760670710.9018233,2025-10-17 11:11:50.901,19.37,0,37,256,16376,210,405,13.23,0,38,256,16376,210,405,21.14,0,36,256,16376,210,405,16.22,0,34,256,16376,210,405,131.09349545241923,13.46,38.25,40.1,68.83,36.4,68.84
1760670711.2505813,2025-10-17 11:11:51.250,19.26,0,37,256,16376,210,405,13.26,0,37,256,16376,210,405,21.14,0,36,256,16376,210,405,16.18,0,34,256,16376,210,405,138.04326899471508,14.26,38.2,40.0,83.04,36.4,71.53
1760670711.611168,2025-10-17 11:11:51.611,19.26,0,37,256,16376,210,405,13.26,0,37,256,16376,210,405,21.14,0,36,256,16376,210,405,16.18,0,34,256,16376,210,405,137.60602031967355,14.18,38.2,40.0,83.04,36.4,71.53
1760670711.9634953,2025-10-17 11:11:51.963,19.26,0,37,256,16376,210,405,13.26,0,37,256,16376,210,405,21.14,0,36,256,16376,210,405,16.18,0,34,256,16376,210,405,137.65647966560857,14.15,38.2,40.0,69.85,36.4,63.43
1760670712.3103783,2025-10-17 11:11:52.310,19.22,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.14,0,36,256,16376,210,405,16.21,0,34,256,16376,210,405,132.03472092123718,13.61,38.2,40.0,69.85,36.4,63.43
1760670712.6632886,2025-10-17 11:11:52.663,19.22,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.14,0,36,256,16376,210,405,16.21,0,34,256,16376,210,405,131.84648912445462,13.59,38.2,40.0,68.13,36.4,78.2
1760670713.0196705,2025-10-17 11:11:53.019,19.22,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.14,0,36,256,16376,210,405,16.21,0,34,256,16376,210,405,138.50390087106814,14.26,38.2,40.0,66.21,36.4,80.12
1760670713.3704243,2025-10-17 11:11:53.370,19.31,0,37,256,16376,210,405,13.15,0,37,256,16376,210,405,21.14,0,36,256,16376,210,405,16.23,0,34,256,16376,210,405,143.72269814609754,14.81,38.2,40.0,66.21,36.4,80.12
1760670713.72348,2025-10-17 11:11:53.723,19.31,0,37,256,16376,210,405,13.15,0,37,256,16376,210,405,21.14,0,36,256,16376,210,405,16.23,0,34,256,16376,210,405,143.61492844488356,14.76,38.2,40.0,65.88,36.4,69.52
1760670714.0727704,2025-10-17 11:11:54.072,19.38,0,37,256,16376,210,405,13.2,0,37,256,16376,210,405,21.12,0,36,256,16376,210,405,16.23,0,34,256,16376,210,405,144.21733669257364,14.84,38.2,40.0,65.88,36.4,69.52
1760670714.424565,2025-10-17 11:11:54.424,19.38,0,37,256,16376,210,405,13.2,0,37,256,16376,210,405,21.12,0,36,256,16376,210,405,16.31,0,34,256,16376,210,405,134.0442177344826,13.82,38.2,40.0,68.27,36.4,59.59
1760670714.7750595,2025-10-17 11:11:54.775,19.38,0,37,256,16376,210,405,13.2,0,37,256,16376,210,405,21.12,0,36,256,16376,210,405,16.31,0,34,256,16376,210,405,145.51191645523107,14.99,38.2,40.0,68.27,36.4,59.59
1760670715.1283746,2025-10-17 11:11:55.128,19.39,0,37,256,16376,210,405,13.17,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.26,0,34,256,16376,210,405,131.79870139400455,13.56,38.2,40.0,67.95,36.4,86.53
1760670715.4766967,2025-10-17 11:11:55.476,19.39,0,37,256,16376,210,405,13.17,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.26,0,34,256,16376,210,405,138.0564439104231,14.2,38.2,40.0,67.95,36.4,86.53
1760670715.8318558,2025-10-17 11:11:55.831,19.39,0,37,256,16376,210,405,13.17,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.26,0,34,256,16376,210,405,131.7568113586786,13.5,38.2,40.0,67.68,36.4,75.64
1760670716.1752553,2025-10-17 11:11:56.175,19.33,0,37,256,16376,210,405,13.17,0,37,256,16376,210,405,21.13,0,35,256,16376,210,405,16.08,0,34,256,16376,210,405,140.60791935824335,14.49,38.2,40.0,67.68,36.4,75.64
1760670716.5397265,2025-10-17 11:11:56.539,19.33,0,37,256,16376,210,405,13.17,0,37,256,16376,210,405,21.13,0,35,256,16376,210,405,16.08,0,34,256,16376,210,405,131.6955653389324,13.55,38.2,40.0,73.37,36.4,65.89
1760670716.8885982,2025-10-17 11:11:56.888,19.33,0,37,256,16376,210,405,13.17,0,37,256,16376,210,405,21.13,0,35,256,16376,210,405,16.08,0,34,256,16376,210,405,138.1143959253615,14.24,38.2,40.0,69.18,36.4,76.23
1760670717.239199,2025-10-17 11:11:57.239,19.31,0,37,256,16376,210,405,13.21,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.12,0,34,256,16376,210,405,131.97634183155367,13.58,38.2,40.0,69.18,36.4,76.23
1760670717.592708,2025-10-17 11:11:57.592,19.31,0,37,256,16376,210,405,13.21,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.12,0,34,256,16376,210,405,137.35187954788012,14.09,38.2,40.0,68.6,36.4,76.67
1760670717.9418838,2025-10-17 11:11:57.941,19.31,0,37,256,16376,210,405,13.21,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.12,0,34,256,16376,210,405,131.1814777195062,13.5,38.2,40.0,68.6,36.4,76.67
1760670718.2930207,2025-10-17 11:11:58.293,19.37,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.13,0,35,256,16376,210,405,16.16,0,34,256,16376,210,405,131.25673400684025,13.52,38.2,40.0,66.3,36.4,69.86
1760670718.6433249,2025-10-17 11:11:58.643,19.37,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.13,0,35,256,16376,210,405,16.16,0,34,256,16376,210,405,143.77250606730684,14.77,38.2,40.0,66.3,36.4,69.86
1760670718.9933407,2025-10-17 11:11:58.993,19.37,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.13,0,35,256,16376,210,405,16.16,0,34,256,16376,210,405,130.53491614613884,13.43,38.2,40.0,68.84,36.4,52.5
1760670719.3429456,2025-10-17 11:11:59.342,19.39,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.14,0,35,256,16376,210,405,16.04,0,34,256,16376,210,405,144.15849676295736,14.85,38.2,40.0,68.84,36.4,52.5
1760670719.6919906,2025-10-17 11:11:59.692,19.39,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.14,0,35,256,16376,210,405,16.04,0,34,256,16376,210,405,138.80918381252087,14.38,38.2,40.0,71.45,36.4,55.48
1760670720.0500638,2025-10-17 11:12:00.050,19.39,0,37,256,16376,210,405,13.18,0,37,256,16376,210,405,21.14,0,35,256,16376,210,405,16.04,0,34,256,16376,210,405,139.2589557677914,14.3,38.2,40.0,71.45,36.4,55.48
1760670720.3937826,2025-10-17 11:12:00.393,19.38,0,37,256,16376,210,405,13.21,0,37,256,16376,210,405,21.14,0,35,256,16376,210,405,16.07,0,34,256,16376,210,405,130.63659848600477,13.39,38.2,40.0,68.07,36.4,82.78
1760670720.7420795,2025-10-17 11:12:00.742,19.38,0,37,256,16376,210,405,13.21,0,37,256,16376,210,405,21.14,0,35,256,16376,210,405,16.07,0,34,256,16376,210,405,137.09848584222814,14.07,38.2,40.0,68.23,36.4,61.17
1760670721.0861912,2025-10-17 11:12:01.086,19.41,0,37,256,16376,210,405,13.26,0,37,256,16376,210,405,21.16,0,35,256,16376,210,405,16.07,0,34,256,16376,210,405,142.02816710018402,14.57,38.2,40.0,68.23,36.4,61.17
1760670721.435801,2025-10-17 11:12:01.435,19.41,0,37,256,16376,210,405,13.26,0,37,256,16376,210,405,21.16,0,35,256,16376,210,405,16.12,0,34,256,16376,210,405,139.24969817264028,14.35,38.2,40.0,61.03,36.4,63.66
1760670721.7879577,2025-10-17 11:12:01.787,19.41,0,37,256,16376,210,405,13.26,0,37,256,16376,210,405,21.16,0,35,256,16376,210,405,16.12,0,34,256,16376,210,405,144.58245357086219,14.84,38.2,40.0,61.03,36.4,63.66
1760670722.1359012,2025-10-17 11:12:02.135,19.35,0,37,256,16376,210,405,13.31,0,37,256,16376,210,405,21.16,0,35,256,16376,210,405,16.13,0,34,256,16376,210,405,148.55690983307792,15.31,38.2,40.0,75.88,36.4,81.45
1760670722.4889853,2025-10-17 11:12:02.488,19.35,0,37,256,16376,210,405,13.31,0,37,256,16376,210,405,21.16,0,35,256,16376,210,405,16.13,0,34,256,16376,210,405,130.91461143028292,13.48,38.2,40.0,75.88,36.4,81.45
1760670722.8409207,2025-10-17 11:12:02.840,19.35,0,37,256,16376,210,405,13.31,0,37,256,16376,210,405,21.16,0,35,256,16376,210,405,16.13,0,34,256,16376,210,405,138.11025160735275,14.22,38.2,40.0,70.11,36.4,71.04
1760670723.1923811,2025-10-17 11:12:03.192,19.26,0,37,256,16376,210,405,13.3,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.11,0,34,256,16376,210,405,139.94155415283166,14.41,38.2,40.0,70.11,36.4,71.04
1760670723.5462172,2025-10-17 11:12:03.546,19.26,0,37,256,16376,210,405,13.3,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.11,0,34,256,16376,210,405,143.2326461599755,14.74,38.2,40.0,67.61,36.4,77.74
1760670723.897987,2025-10-17 11:12:03.897,19.26,0,37,256,16376,210,405,13.3,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.11,0,34,256,16376,210,405,144.95668495483514,14.95,38.25,40.0,67.61,36.5,77.74
1760670724.2478354,2025-10-17 11:12:04.247,19.12,0,37,256,16376,210,405,13.24,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.06,0,34,256,16376,210,405,131.1944064311031,13.48,38.25,40.0,74.27,36.5,80.38
1760670724.5874143,2025-10-17 11:12:04.587,19.12,0,37,256,16376,210,405,13.24,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.06,0,34,256,16376,210,405,142.29958807901812,14.69,38.25,40.0,74.27,36.5,80.38
1760670724.9361448,2025-10-17 11:12:04.936,19.12,0,37,256,16376,210,405,13.24,0,37,256,16376,210,405,21.12,0,35,256,16376,210,405,16.06,0,34,256,16376,210,405,130.34013631850743,13.43,38.25,40.0,73.39,36.5,67.51
