timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock,cpu_power,cpu_energy,cpu_temperature,cpu_socket0_temperature,cpu_socket0_pkg_watt,cpu_socket1_temperature,cpu_socket1_pkg_watt
1760673044.5595882,2025-10-17 11:50:44.559,19.25,0,40,14378,16376,210,405,13.19,0,40,12774,16376,210,405,21.35,0,38,12774,16376,210,405,16.34,0,36,12784,16376,210,405,129.33863734270733,13.41,38.6,41.0,0.0,36.2,0.0
1760673044.9414215,2025-10-17 11:50:44.941,19.21,0,40,14378,16376,210,405,13.22,0,40,12774,16376,210,405,21.39,0,38,12774,16376,210,405,16.29,0,36,12784,16376,210,405,137.0531483030193,14.19,38.6,41.0,68.74,36.2,69.0
1760673045.3008025,2025-10-17 11:50:45.300,19.21,0,40,14378,16376,210,405,13.22,0,40,12774,16376,210,405,21.39,0,38,12774,16376,210,405,16.29,0,36,12784,16376,210,405,133.40021208021824,13.79,38.6,41.0,68.74,36.2,69.0
1760673045.6554058,2025-10-17 11:50:45.655,19.21,0,40,14378,16376,210,405,13.22,0,40,12774,16376,210,405,21.39,0,38,12774,16376,210,405,16.29,0,36,12784,16376,210,405,136.75218847873285,14.1,38.6,41.0,70.01,36.2,68.64
1760673046.0157082,2025-10-17 11:50:46.015,19.25,0,40,14378,16376,210,405,13.19,0,40,12774,16376,210,405,21.36,0,38,12774,16376,210,405,16.23,0,36,12784,16376,210,405,136.5041391088403,14.04,38.6,41.0,70.01,36.2,68.64
1760673046.3762727,2025-10-17 11:50:46.376,19.25,0,40,14378,16376,210,405,13.19,0,40,12774,16376,210,405,21.36,0,38,12774,16376,210,405,16.23,0,36,12784,16376,210,405,126.46791237851983,13.01,38.6,41.0,66.87,36.2,66.52
1760673046.7333925,2025-10-17 11:50:46.733,19.25,0,40,14378,16376,210,405,13.19,0,40,12774,16376,210,405,21.36,0,38,12774,16376,210,405,16.23,0,36,12784,16376,210,405,133.13510305724387,13.72,38.6,41.0,66.87,36.2,66.52
1760673047.0910857,2025-10-17 11:50:47.091,19.37,0,40,14378,16376,210,405,13.12,0,40,12774,16376,210,405,21.32,0,38,12774,16376,210,405,16.18,0,36,12784,16376,210,405,134.7988055595947,13.81,38.6,41.0,66.66,36.2,66.89
1760673047.4513671,2025-10-17 11:50:47.451,19.37,0,40,14378,16376,210,405,13.12,0,40,12774,16376,210,405,21.32,0,38,12774,16376,210,405,16.18,0,36,12784,16376,210,405,132.91739399190695,13.71,38.6,41.0,66.66,36.2,66.89
1760673047.8099346,2025-10-17 11:50:47.809,19.37,0,40,14378,16376,210,405,13.15,0,40,12774,16376,210,405,21.32,0,38,12774,16376,210,405,16.18,0,36,12784,16376,210,405,132.9313210329883,13.68,38.6,41.0,68.53,36.2,78.94
1760673048.1783147,2025-10-17 11:50:48.178,19.41,0,40,14378,16376,210,405,13.15,0,40,12774,16376,210,405,21.3,0,38,12774,16376,210,405,16.21,0,35,12784,16376,210,405,132.78254203091598,13.68,38.6,41.0,66.58,36.2,66.21
1760673048.540355,2025-10-17 11:50:48.540,19.41,0,40,14378,16376,210,405,13.15,0,40,12774,16376,210,405,21.3,0,38,12774,16376,210,405,16.21,0,35,12784,16376,210,405,132.71880575149285,13.66,38.6,41.0,66.58,36.2,66.21
1760673048.8988447,2025-10-17 11:50:48.898,19.38,0,39,14378,16376,210,405,13.2,0,40,12774,16376,210,405,21.3,0,38,12774,16376,210,405,16.34,0,35,12784,16376,210,405,131.9550998322317,13.6,38.6,41.0,71.35,36.2,72.01
1760673049.258893,2025-10-17 11:50:49.258,19.38,0,39,14378,16376,210,405,13.2,0,40,12774,16376,210,405,21.3,0,38,12774,16376,210,405,16.34,0,35,12784,16376,210,405,132.24954748077946,13.59,38.6,41.0,71.35,36.2,72.01
