timestamp,datetime,gpu_0_power,gpu_0_utilization,gpu_0_temperature,gpu_0_memory_used,gpu_0_memory_total,gpu_0_graphics_clock,gpu_0_memory_clock,gpu_1_power,gpu_1_utilization,gpu_1_temperature,gpu_1_memory_used,gpu_1_memory_total,gpu_1_graphics_clock,gpu_1_memory_clock,gpu_2_power,gpu_2_utilization,gpu_2_temperature,gpu_2_memory_used,gpu_2_memory_total,gpu_2_graphics_clock,gpu_2_memory_clock,gpu_3_power,gpu_3_utilization,gpu_3_temperature,gpu_3_memory_used,gpu_3_memory_total,gpu_3_graphics_clock,gpu_3_memory_clock,cpu_power,cpu_energy,cpu_temperature,cpu_socket0_temperature,cpu_socket0_pkg_watt,cpu_socket1_temperature,cpu_socket1_pkg_watt
1760889754.255088,2025-10-20 00:02:34.255,170.0,96,56,14542,16376,2760,11251,160.81,97,56,14542,16376,2760,11251,173.54,97,53,14542,16376,2715,11251,162.64,96,50,14542,16376,2715,11251,183.31493866093587,18.86,43.75,47.4,0.0,40.1,0.0
1760889754.60124,2025-10-20 00:02:34.601,171.87,96,56,14542,16376,2760,11251,163.35,97,56,14542,16376,2760,11251,173.54,97,53,14542,16376,2715,11251,164.26,96,50,14542,16376,2715,11251,179.98016087220245,18.56,43.8,47.5,0.0,40.1,0.0
1760889754.9473536,2025-10-20 00:02:34.947,171.87,96,56,14542,16376,2760,11251,163.35,97,56,14542,16376,2760,11251,175.26,97,53,14542,16376,2715,11251,165.19,96,50,14542,16376,2715,11251,179.15502770589245,18.43,43.8,47.5,86.82,40.1,95.17
1760889755.2983465,2025-10-20 00:02:35.298,172.05,96,56,14542,16376,2760,11251,163.35,97,56,14542,16376,2760,11251,175.04,97,53,14542,16376,2715,11251,165.2,96,50,14542,16376,2715,11251,180.92077662734303,18.63,43.8,47.5,86.82,40.1,95.17
1760889755.642645,2025-10-20 00:02:35.642,171.87,96,56,14542,16376,2760,11251,163.51,97,56,14542,16376,2760,11251,175.36,97,53,14542,16376,2715,11251,165.2,96,50,14542,16376,2715,11251,180.38338504861144,18.46,43.8,47.5,89.2,40.1,64.6
1760889755.988083,2025-10-20 00:02:35.988,171.87,96,56,14542,16376,2760,11251,162.5,95,56,14542,16376,2760,11251,175.36,97,53,14542,16376,2715,11251,165.43,96,50,14542,16376,2715,11251,180.4499428325094,18.64,43.85,47.6,89.2,40.1,64.6
1760889756.3301568,2025-10-20 00:02:36.330,170.97,96,56,14542,16376,2760,11251,162.5,95,56,14542,16376,2760,11251,174.56,97,53,14542,16376,2715,11251,165.03,96,51,14542,16376,2715,11251,180.78156694805918,18.74,43.85,47.6,108.22,40.1,96.22
1760889756.6952596,2025-10-20 00:02:36.695,170.63,96,56,14542,16376,2760,11251,162.27,95,56,14542,16376,2760,11251,174.36,98,53,14542,16376,2715,11251,165.03,96,51,14542,16376,2715,11251,180.46504333739114,18.55,43.85,47.6,108.22,40.1,96.22
1760889757.0353835,2025-10-20 00:02:37.035,170.63,96,56,14542,16376,2760,11251,162.97,96,56,14542,16376,2760,11251,174.36,98,53,14542,16376,2715,11251,165.31,95,51,14542,16376,2715,11251,179.75467676392387,18.62,43.85,47.6,98.31,40.1,105.73
1760889757.3852012,2025-10-20 00:02:37.385,171.26,95,56,14542,16376,2760,11251,162.97,96,56,14542,16376,2760,11251,175.01,98,54,14542,16376,2715,11251,166.05,95,50,14542,16376,2715,11251,178.20137040055062,18.37,43.85,47.6,98.31,40.1,105.73
